GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,B18001,B2Y001
"G0500850","1950","Arkansas","050","Lonoke","0850","Lonoke","42","850",27278,"Decrease 0% to 19%"
"G0500870","1950","Arkansas","050","Madison","0870","Madison","42","870",11734,"Decrease 0% to 19%"
"G0500890","1950","Arkansas","050","Marion","0890","Marion","42","890",8609,"Decrease 0% to 19%"
"G0500910","1950","Arkansas","050","Miller","0910","Miller","42","910",32614,"Increase 0% to 19%"
"G0500930","1950","Arkansas","050","Mississippi","0930","Mississippi","42","930",82375,"Increase 0% to 19%"
"G0500950","1950","Arkansas","050","Monroe","0950","Monroe","42","950",19540,"Decrease 0% to 19%"
"G0500970","1950","Arkansas","050","Montgomery","0970","Montgomery","42","970",6680,"Decrease 20% to 39%"
"G0500990","1950","Arkansas","050","Nevada","0990","Nevada","42","990",14781,"Decrease 20% to 39%"
"G0501010","1950","Arkansas","050","Newton","1010","Newton","42","1010",8685,"Decrease 20% to 39%"
"G0501030","1950","Arkansas","050","Ouachita","1030","Ouachita","42","1030",33051,"Increase 0% to 19%"
"G0501050","1950","Arkansas","050","Perry","1050","Perry","42","1050",5978,"Decrease 20% to 39%"
"G0501070","1950","Arkansas","050","Phillips","1070","Phillips","42","1070",46254,"Increase 0% to 19%"
"G0501090","1950","Arkansas","050","Pike","1090","Pike","42","1090",10032,"Decrease 0% to 19%"
"G0501110","1950","Arkansas","050","Poinsett","1110","Poinsett","42","1110",39311,"Increase 0% to 19%"
"G0501130","1950","Arkansas","050","Polk","1130","Polk","42","1130",14182,"Decrease 0% to 19%"
"G0501150","1950","Arkansas","050","Pope","1150","Pope","42","1150",23291,"Decrease 0% to 19%"
"G0501170","1950","Arkansas","050","Prairie","1170","Prairie","42","1170",13768,"Decrease 0% to 19%"
"G0501190","1950","Arkansas","050","Pulaski","1190","Pulaski","42","1190",196685,"Increase 20% to 39%"
"G0501210","1950","Arkansas","050","Randolph","1210","Randolph","42","1210",15982,"Decrease 0% to 19%"
"G0501230","1950","Arkansas","050","St Francis","1230","St Francis","42","1230",36841,"Increase 0% to 19%"
"G0501250","1950","Arkansas","050","Saline","1250","Saline","42","1250",23816,"Increase 20% to 39%"
"G0501270","1950","Arkansas","050","Scott","1270","Scott","42","1270",10057,"Decrease 20% to 39%"
"G0501290","1950","Arkansas","050","Searcy","1290","Searcy","42","1290",10424,"Decrease 0% to 19%"
"G0501310","1950","Arkansas","050","Sebastian","1310","Sebastian","42","1310",64202,"Increase 0% to 19%"
"G0501330","1950","Arkansas","050","Sevier","1330","Sevier","42","1330",12293,"Decrease 0% to 19%"
"G0501350","1950","Arkansas","050","Sharp","1350","Sharp","42","1350",8999,"Decrease 20% to 39%"
"G0501370","1950","Arkansas","050","Stone","1370","Stone","42","1370",7662,"Decrease 0% to 19%"
"G0501390","1950","Arkansas","050","Union","1390","Union","42","1390",49686,"Decrease 0% to 19%"
"G0501410","1950","Arkansas","050","Van Buren","1410","Van Buren","42","1410",9687,"Decrease 20% to 39%"
"G0501430","1950","Arkansas","050","Washington","1430","Washington","42","1430",49979,"Increase 20% to 39%"
"G0501450","1950","Arkansas","050","White","1450","White","42","1450",38040,"Increase 0% to 19%"
"G0501470","1950","Arkansas","050","Woodruff","1470","Woodruff","42","1470",18957,"Decrease 0% to 19%"
"G0501490","1950","Arkansas","050","Yell","1490","Yell","42","1490",14057,"Decrease 20% to 39%"
"G0600010","1950","California","060","Alameda","0010","Alameda","71","10",740315,"Increase 40% to 59%"
"G0600030","1950","California","060","Alpine","0030","Alpine","71","30",241,"Decrease 20% to 39%"
"G0600050","1950","California","060","Amador","0050","Amador","71","50",9151,"Increase 0% to 19%"
"G0600070","1950","California","060","Butte","0070","Butte","71","70",64930,"Increase 40% to 59%"
"G0600090","1950","California","060","Calaveras","0090","Calaveras","71","90",9902,"Increase 20% to 39%"
"G0600110","1950","California","060","Colusa","0110","Colusa","71","110",11651,"Increase 0% to 19%"
"G0600130","1950","California","060","Contra Costa","0130","Contra Costa","71","130",298984,"Increase 100% or more"
"G0600150","1950","California","060","Del Norte","0150","Del Norte","71","150",8078,"Increase 60% to 79%"
"G0600170","1950","California","060","El Dorado","0170","El Dorado","71","170",16207,"Increase 20% to 39%"
