GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,BDP001,BEQ001
"G0800550","1930","Colorado","080","Huerfano","0550","Huerfano","62","550",17062,17062
"G0800570","1930","Colorado","080","Jackson","0570","Jackson","62","570",1386,1386
"G0800590","1930","Colorado","080","Jefferson","0590","Jefferson","62","590",21810,21810
"G0800610","1930","Colorado","080","Kiowa","0610","Kiowa","62","610",3786,3786
"G0800630","1930","Colorado","080","Kit Carson","0630","Kit Carson","62","630",9725,9725
"G0800650","1930","Colorado","080","Lake","0650","Lake","62","650",4899,4899
"G0800670","1930","Colorado","080","La Plata","0670","La Plata","62","670",12975,12975
"G0800690","1930","Colorado","080","Larimer","0690","Larimer","62","690",33137,33137
"G0800710","1930","Colorado","080","Las Animas","0710","Las Animas","62","710",36008,36008
"G0800730","1930","Colorado","080","Lincoln","0730","Lincoln","62","730",7850,7850
"G0800750","1930","Colorado","080","Logan","0750","Logan","62","750",19946,19946
"G0800770","1930","Colorado","080","Mesa","0770","Mesa","62","770",25908,25908
"G0800790","1930","Colorado","080","Mineral","0790","Mineral","62","790",640,640
"G0800810","1930","Colorado","080","Moffat","0810","Moffat","62","810",4861,4861
"G0800830","1930","Colorado","080","Montezuma","0830","Montezuma","62","830",7798,7798
"G0800850","1930","Colorado","080","Montrose","0850","Montrose","62","850",11742,11742
"G0800870","1930","Colorado","080","Morgan","0870","Morgan","62","870",18284,18284
"G0800890","1930","Colorado","080","Otero","0890","Otero","62","890",24390,24390
"G0800910","1930","Colorado","080","Ouray","0910","Ouray","62","910",1784,1784
"G0800930","1930","Colorado","080","Park","0930","Park","62","930",2052,2052
"G0800950","1930","Colorado","080","Phillips","0950","Phillips","62","950",5797,5797
"G0800970","1930","Colorado","080","Pitkin","0970","Pitkin","62","970",1770,1770
"G0800990","1930","Colorado","080","Prowers","0990","Prowers","62","990",14762,14762
"G0801010","1930","Colorado","080","Pueblo","1010","Pueblo","62","1010",66038,66038
"G0801030","1930","Colorado","080","Rio Blanco","1030","Rio Blanco","62","1030",2980,2980
"G0801050","1930","Colorado","080","Rio Grande","1050","Rio Grande","62","1050",9953,9953
"G0801070","1930","Colorado","080","Routt","1070","Routt","62","1070",9352,9352
"G0801090","1930","Colorado","080","Saguache","1090","Saguache","62","1090",6250,6250
"G0801110","1930","Colorado","080","San Juan","1110","San Juan","62","1110",1935,1935
"G0801130","1930","Colorado","080","San Miguel","1130","San Miguel","62","1130",2184,2184
"G0801150","1930","Colorado","080","Sedgwick","1150","Sedgwick","62","1150",5580,5580
"G0801170","1930","Colorado","080","Summit","1170","Summit","62","1170",987,987
"G0801190","1930","Colorado","080","Teller","1190","Teller","62","1190",4141,4141
"G0801210","1930","Colorado","080","Washington","1210","Washington","62","1210",9591,9591
"G0801230","1930","Colorado","080","Weld","1230","Weld","62","1230",65097,65097
"G0801250","1930","Colorado","080","Yuma","1250","Yuma","62","1250",13613,13613
"G0900010","1930","Connecticut","090","Fairfield","0010","Fairfield","1","10",386702,386702
"G0900030","1930","Connecticut","090","Hartford","0030","Hartford","1","30",421097,421097
"G0900050","1930","Connecticut","090","Litchfield","0050","Litchfield","1","50",82556,82556
"G0900070","1930","Connecticut","090","Middlesex","0070","Middlesex","1","70",51388,51388
"G0900090","1930","Connecticut","090","New Haven","0090","New Haven","1","90",463449,463449
"G0900110","1930","Connecticut","090","New London","0110","New London","1","110",118966,118966
"G0900130","1930","Connecticut","090","Tolland","0130","Tolland","1","130",28659,28659
"G0900150","1930","Connecticut","090","Windham","0150","Windham","1","150",54086,54086
"G1000010","1930","Delaware","100","Kent","0010","Kent","11","10",31841,31841
"G1000030","1930","Delaware","100","New Castle","0030","New Castle","11","30",161032,161032
"G1000050","1930","Delaware","100","Sussex","0050","Sussex","11","50",45507,45507
"G1100010","1930","District Of Columbia","110","District Of Columbia","0010","District Of Columbia","98","10",486869,486869
"G1200010","1930","Florida","120","Alachua","0010","Alachua","43","10",34365,34365
"G1200030","1930","Florida","120","Baker","0030","Baker","43","30",6273,6273
"G1200050","1930","Florida","120","Bay","0050","Bay","43","50",12091,12091
"G1200070","1930","Florida","120","Bradford","0070","Bradford","43","70",9405,9405
"G1200090","1930","Florida","120","Brevard","0090","Brevard","43","90",13283,13283
"G1200110","1930","Florida","120","Broward","0110","Broward","43","110",20094,20094
"G1200130","1930","Florida","120","Calhoun","0130","Calhoun","43","130",7298,7298
"G1200150","1930","Florida","120","Charlotte","0150","Charlotte","43","150",4013,4013
"G1200170","1930","Florida","120","Citrus","0170","Citrus","43","170",5516,5516
"G1200190","1930","Florida","120","Clay","0190","Clay","43","190",6859,6859
"G1200210","1930","Florida","120","Collier","0210","Collier","43","210",2883,2883
"G1200230","1930","Florida","120","Columbia","0230","Columbia","43","230",14638,14638
"G1200250","1930","Florida","120","Dade","0250","Dade","43","250",142955,142955
"G1200270","1930","Florida","120","DeSoto","0270","De Soto","43","270",7745,7745
"G1200290","1930","Florida","120","Dixie","0290","Dixie","43","290",6419,6419
"G1200310","1930","Florida","120","Duval","0310","Duval","43","310",155503,155503
"G1200330","1930","Florida","120","Escambia","0330","Escambia","43","330",53594,53594
"G1200350","1930","Florida","120","Flagler","0350","Flagler","43","350",2466,2466
"G1200370","1930","Florida","120","Franklin","0370","Franklin","43","370",6283,6283
"G1200390","1930","Florida","120","Gadsden","0390","Gadsden","43","390",29890,29890
"G1200410","1930","Florida","120","Gilchrist","0410","Gilchrist","43","410",4137,4137
"G1200430","1930","Florida","120","Glades","0430","Glades","43","430",2762,2762
"G1200450","1930","Florida","120","Gulf","0450","Gulf","43","450",3182,3182
"G1200470","1930","Florida","120","Hamilton","0470","Hamilton","43","470",9454,9454
"G1200490","1930","Florida","120","Hardee","0490","Hardee","43","490",10348,10348
"G1200510","1930","Florida","120","Hendry","0510","Hendry","43","510",3492,3492
"G1200530","1930","Florida","120","Hernando","0530","Hernando","43","530",4948,4948
"G1200550","1930","Florida","120","Highlands","0550","Highlands","43","550",9192,9192
"G1200570","1930","Florida","120","Hillsborough","0570","Hillsborough","43","570",153519,153519
"G1200590","1930","Florida","120","Holmes","0590","Holmes","43","590",12924,12924
"G1200610","1930","Florida","120","Indian River","0610","Indian River","43","610",6724,6724
"G1200630","1930","Florida","120","Jackson","0630","Jackson","43","630",31969,31969
"G1200650","1930","Florida","120","Jefferson","0650","Jefferson","43","650",13408,13408
"G1200670","1930","Florida","120","Lafayette","0670","Lafayette","43","670",4361,4361
"G1200690","1930","Florida","120","Lake","0690","Lake","43","690",23161,23161
"G1200710","1930","Florida","120","Lee","0710","Lee","43","710",14990,14990
"G1200730","1930","Florida","120","Leon","0730","Leon","43","730",23476,23476
"G1200750","1930","Florida","120","Levy","0750","Levy","43","750",12456,12456
"G1200770","1930","Florida","120","Liberty","0770","Liberty","43","770",4067,4067
"G1200790","1930","Florida","120","Madison","0790","Madison","43","790",15614,15614
"G1200810","1930","Florida","120","Manatee","0810","Manatee","43","810",22502,22502
"G1200830","1930","Florida","120","Marion","0830","Marion","43","830",29578,29578
"G1200850","1930","Florida","120","Martin","0850","Martin","43","850",5111,5111
"G1200870","1930","Florida","120","Monroe","0870","Monroe","43","870",13624,13624
"G1200890","1930","Florida","120","Nassau","0890","Nassau","43","890",9375,9375
"G1200910","1930","Florida","120","Okaloosa","0910","Okaloosa","43","910",9897,9897
"G1200930","1930","Florida","120","Okeechobee","0930","Okeechobee","43","930",4129,4129
"G1200950","1930","Florida","120","Orange","0950","Orange","43","950",49737,49737
"G1200970","1930","Florida","120","Osceola","0970","Osceola","43","970",10699,10699
