GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AYM001,AYU001
"G0600490","1900","California","060","Modoc","0490","Modoc","71","490",5076,5076
"G0600510","1900","California","060","Mono","0510","Mono","71","510",2167,2167
"G0600530","1900","California","060","Monterey","0530","Monterey","71","530",19380,19380
"G0600550","1900","California","060","Napa","0550","Napa","71","550",16451,16451
"G0600570","1900","California","060","Nevada","0570","Nevada","71","570",17789,17789
"G0600590","1900","California","060","Orange","0590","Orange","71","590",19696,19696
"G0600610","1900","California","060","Placer","0610","Placer","71","610",15786,15786
"G0600630","1900","California","060","Plumas","0630","Plumas","71","630",4657,4657
"G0600650","1900","California","060","Riverside","0650","Riverside","71","650",17897,17897
"G0600670","1900","California","060","Sacramento","0670","Sacramento","71","670",45915,45915
"G0600690","1900","California","060","San Benito","0690","San Benito","71","690",6633,6633
"G0600710","1900","California","060","San Bernardino","0710","San Bernardino","71","710",27929,27929
"G0600730","1900","California","060","San Diego","0730","San Diego","71","730",35090,35090
"G0600750","1900","California","060","San Francisco","0750","San Francisco","71","750",342782,342782
"G0600770","1900","California","060","San Joaquin","0770","San Joaquin","71","770",35452,35452
"G0600790","1900","California","060","San Luis Obispo","0790","San Luis Obispo","71","790",16637,16637
"G0600810","1900","California","060","San Mateo","0810","San Mateo","71","810",12094,12094
"G0600830","1900","California","060","Santa Barbara","0830","Santa Barbara","71","830",18934,18934
"G0600850","1900","California","060","Santa Clara","0850","Santa Clara","71","850",60216,60216
"G0600870","1900","California","060","Santa Cruz","0870","Santa Cruz","71","870",21512,21512
"G0600890","1900","California","060","Shasta","0890","Shasta","71","890",17318,17318
"G0600910","1900","California","060","Sierra","0910","Sierra","71","910",4017,4017
"G0600930","1900","California","060","Siskiyou","0930","Siskiyou","71","930",16962,16962
"G0600950","1900","California","060","Solano","0950","Solano","71","950",24143,24143
"G0600970","1900","California","060","Sonoma","0970","Sonoma","71","970",38480,38480
"G0600990","1900","California","060","Stanislaus","0990","Stanislaus","71","990",9550,9550
"G0601010","1900","California","060","Sutter","1010","Sutter","71","1010",5886,5886
"G0601030","1900","California","060","Tehama","1030","Tehama","71","1030",10996,10996
"G0601050","1900","California","060","Trinity","1050","Trinity","71","1050",4383,4383
"G0601070","1900","California","060","Tulare","1070","Tulare","71","1070",18375,18375
"G0601090","1900","California","060","Tuolumne","1090","Tuolumne","71","1090",11166,11166
"G0601110","1900","California","060","Ventura","1110","Ventura","71","1110",14367,14367
"G0601130","1900","California","060","Yolo","1130","Yolo","71","1130",13618,13618
"G0601150","1900","California","060","Yuba","1150","Yuba","71","1150",8620,8620
"G0609015","1900","California","060","Hupa Valley Indian Reservation","9015","Hupa Valley Indian Reservation","71","235",,
"G0609035","1900","California","060","Mission Indian Reservation","9035","Mission Indian Reservation","71","475",,
"G0609055","1900","California","060","Round Valley Indian Reservation","9055","Round Valley Indian Reservation","71","655",,
"G0609075","1900","California","060","Tule River Indian Reservation","9075","Tule River Indian Reservation","71","1075",,
"G0800050","1900","Colorado","080","Arapahoe","0050","Arapahoe","62","50",153017,153017
"G0800070","1900","Colorado","080","Archuleta","0070","Archuleta","62","70",2117,2117
"G0800090","1900","Colorado","080","Baca","0090","Baca","62","90",759,759
"G0800110","1900","Colorado","080","Bent","0110","Bent","62","110",3049,3049
"G0800130","1900","Colorado","080","Boulder","0130","Boulder","62","130",21544,21544
"G0800150","1900","Colorado","080","Chaffee","0150","Chaffee","62","150",7085,7085
"G0800170","1900","Colorado","080","Cheyenne","0170","Cheyenne","62","170",501,501
"G0800190","1900","Colorado","080","Clear Creek","0190","Clear Creek","62","190",7082,7082
"G0800210","1900","Colorado","080","Conejos","0210","Conejos","62","210",8794,8794
"G0800230","1900","Colorado","080","Costilla","0230","Costilla","62","230",4632,4632
"G0800270","1900","Colorado","080","Custer","0270","Custer","62","270",2937,2937
"G0800290","1900","Colorado","080","Delta","0290","Delta","62","290",5487,5487
