GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A7L001,A81001
"G0501410","1920","Arkansas","050","Van Buren","1410","Van Buren","42","1410",13666,13666
"G0501430","1920","Arkansas","050","Washington","1430","Washington","42","1430",35468,35468
"G0501450","1920","Arkansas","050","White","1450","White","42","1450",34603,34603
"G0501470","1920","Arkansas","050","Woodruff","1470","Woodruff","42","1470",21547,21547
"G0501490","1920","Arkansas","050","Yell","1490","Yell","42","1490",25655,25655
"G0600010","1920","California","060","Alameda","0010","Alameda","71","10",344177,344177
"G0600030","1920","California","060","Alpine","0030","Alpine","71","30",243,243
"G0600050","1920","California","060","Amador","0050","Amador","71","50",7793,7793
"G0600070","1920","California","060","Butte","0070","Butte","71","70",30030,30030
"G0600090","1920","California","060","Calaveras","0090","Calaveras","71","90",6183,6183
"G0600110","1920","California","060","Colusa","0110","Colusa","71","110",9290,9290
"G0600130","1920","California","060","Contra Costa","0130","Contra Costa","71","130",53889,53889
"G0600150","1920","California","060","Del Norte","0150","Del Norte","71","150",2759,2759
"G0600170","1920","California","060","El Dorado","0170","El Dorado","71","170",6426,6426
"G0600190","1920","California","060","Fresno","0190","Fresno","71","190",128779,128779
"G0600210","1920","California","060","Glenn","0210","Glenn","71","210",11853,11853
"G0600230","1920","California","060","Humboldt","0230","Humboldt","71","230",37413,37413
"G0600250","1920","California","060","Imperial","0250","Imperial","71","250",43453,43453
"G0600270","1920","California","060","Inyo","0270","Inyo","71","270",7031,7031
"G0600290","1920","California","060","Kern","0290","Kern","71","290",54843,54843
"G0600310","1920","California","060","Kings","0310","Kings","71","310",22031,22031
"G0600330","1920","California","060","Lake","0330","Lake","71","330",5402,5402
"G0600350","1920","California","060","Lassen","0350","Lassen","71","350",8507,8507
"G0600370","1920","California","060","Los Angeles","0370","Los Angeles","71","370",936455,936455
"G0600390","1920","California","060","Madera","0390","Madera","71","390",12203,12203
"G0600410","1920","California","060","Marin","0410","Marin","71","410",27342,27342
"G0600430","1920","California","060","Mariposa","0430","Mariposa","71","430",2775,2775
"G0600435","1920","California","060","Mariposa-Mono [multi-county reporting area]","0435","Mariposa-Mono (multi-county reporting area)","71","435",,
"G0600450","1920","California","060","Mendocino","0450","Mendocino","71","450",24116,24116
"G0600470","1920","California","060","Merced","0470","Merced","71","470",24579,24579
"G0600490","1920","California","060","Modoc","0490","Modoc","71","490",5425,5425
"G0600510","1920","California","060","Mono","0510","Mono","71","510",960,960
"G0600530","1920","California","060","Monterey","0530","Monterey","71","530",27980,27980
"G0600550","1920","California","060","Napa","0550","Napa","71","550",20678,20678
"G0600570","1920","California","060","Nevada","0570","Nevada","71","570",10850,10850
"G0600590","1920","California","060","Orange","0590","Orange","71","590",61375,61375
"G0600610","1920","California","060","Placer","0610","Placer","71","610",18584,18584
"G0600630","1920","California","060","Plumas","0630","Plumas","71","630",5681,5681
"G0600650","1920","California","060","Riverside","0650","Riverside","71","650",50297,50297
"G0600670","1920","California","060","Sacramento","0670","Sacramento","71","670",91029,91029
"G0600690","1920","California","060","San Benito","0690","San Benito","71","690",8995,8995
"G0600710","1920","California","060","San Bernardino","0710","San Bernardino","71","710",73401,73401
"G0600730","1920","California","060","San Diego","0730","San Diego","71","730",112248,112248
"G0600750","1920","California","060","San Francisco","0750","San Francisco","71","750",506676,506676
"G0600770","1920","California","060","San Joaquin","0770","San Joaquin","71","770",79905,79905
"G0600790","1920","California","060","San Luis Obispo","0790","San Luis Obispo","71","790",21893,21893
"G0600810","1920","California","060","San Mateo","0810","San Mateo","71","810",36781,36781
"G0600830","1920","California","060","Santa Barbara","0830","Santa Barbara","71","830",41097,41097
"G0600850","1920","California","060","Santa Clara","0850","Santa Clara","71","850",100676,100676
"G0600870","1920","California","060","Santa Cruz","0870","Santa Cruz","71","870",26269,26269
"G0600890","1920","California","060","Shasta","0890","Shasta","71","890",13361,13361
"G0600910","1920","California","060","Sierra","0910","Sierra","71","910",1783,1783
"G0600930","1920","California","060","Siskiyou","0930","Siskiyou","71","930",18545,18545
"G0600950","1920","California","060","Solano","0950","Solano","71","950",40602,40602
"G0600970","1920","California","060","Sonoma","0970","Sonoma","71","970",52090,52090
"G0600990","1920","California","060","Stanislaus","0990","Stanislaus","71","990",43557,43557
"G0601010","1920","California","060","Sutter","1010","Sutter","71","1010",10115,10115
"G0601030","1920","California","060","Tehama","1030","Tehama","71","1030",12882,12882
"G0601050","1920","California","060","Trinity","1050","Trinity","71","1050",2551,2551
"G0601070","1920","California","060","Tulare","1070","Tulare","71","1070",59031,59031
"G0601090","1920","California","060","Tuolumne","1090","Tuolumne","71","1090",7768,7768
"G0601110","1920","California","060","Ventura","1110","Ventura","71","1110",28724,28724
"G0601130","1920","California","060","Yolo","1130","Yolo","71","1130",17105,17105
"G0601150","1920","California","060","Yuba","1150","Yuba","71","1150",10375,10375
"G0800010","1920","Colorado","080","Adams","0010","Adams","62","10",14430,14430
"G0800030","1920","Colorado","080","Alamosa","0030","Alamosa","62","30",5148,5148
"G0800050","1920","Colorado","080","Arapahoe","0050","Arapahoe","62","50",13766,13766
"G0800070","1920","Colorado","080","Archuleta","0070","Archuleta","62","70",3590,3590
"G0800090","1920","Colorado","080","Baca","0090","Baca","62","90",8721,8721
"G0800110","1920","Colorado","080","Bent","0110","Bent","62","110",9705,9705
"G0800130","1920","Colorado","080","Boulder","0130","Boulder","62","130",31861,31861
"G0800150","1920","Colorado","080","Chaffee","0150","Chaffee","62","150",7753,7753
"G0800170","1920","Colorado","080","Cheyenne","0170","Cheyenne","62","170",3746,3746
"G0800190","1920","Colorado","080","Clear Creek","0190","Clear Creek","62","190",2891,2891
"G0800210","1920","Colorado","080","Conejos","0210","Conejos","62","210",8416,8416
"G0800230","1920","Colorado","080","Costilla","0230","Costilla","62","230",5032,5032
"G0800250","1920","Colorado","080","Crowley","0250","Crowley","62","250",6383,6383
"G0800270","1920","Colorado","080","Custer","0270","Custer","62","270",2172,2172
"G0800290","1920","Colorado","080","Delta","0290","Delta","62","290",13668,13668
"G0800310","1920","Colorado","080","Denver","0310","Denver","62","310",256491,256491
"G0800330","1920","Colorado","080","Dolores","0330","Dolores","62","330",1243,1243
"G0800350","1920","Colorado","080","Douglas","0350","Douglas","62","350",3517,3517
"G0800370","1920","Colorado","080","Eagle","0370","Eagle","62","370",3385,3385
"G0800390","1920","Colorado","080","Elbert","0390","Elbert","62","390",6980,6980
"G0800410","1920","Colorado","080","El Paso","0410","El Paso","62","410",44027,44027
"G0800430","1920","Colorado","080","Fremont","0430","Fremont","62","430",17883,17883
"G0800450","1920","Colorado","080","Garfield","0450","Garfield","62","450",9304,9304
"G0800470","1920","Colorado","080","Gilpin","0470","Gilpin","62","470",1364,1364
"G0800490","1920","Colorado","080","Grand","0490","Grand","62","490",2659,2659
"G0800510","1920","Colorado","080","Gunnison","0510","Gunnison","62","510",5590,5590
"G0800530","1920","Colorado","080","Hinsdale","0530","Hinsdale","62","530",538,538
