GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,B5O001
"G0800350","1960","Colorado","080","Douglas","0350","Douglas","62","350",4816
"G0800370","1960","Colorado","080","Eagle","0370","Eagle","62","370",4677
"G0800390","1960","Colorado","080","Elbert","0390","Elbert","62","390",3708
"G0800410","1960","Colorado","080","El Paso","0410","El Paso","62","410",143742
"G0800430","1960","Colorado","080","Fremont","0430","Fremont","62","430",20196
"G0800450","1960","Colorado","080","Garfield","0450","Garfield","62","450",12017
"G0800470","1960","Colorado","080","Gilpin","0470","Gilpin","62","470",685
"G0800490","1960","Colorado","080","Grand","0490","Grand","62","490",3557
"G0800510","1960","Colorado","080","Gunnison","0510","Gunnison","62","510",5477
"G0800530","1960","Colorado","080","Hinsdale","0530","Hinsdale","62","530",208
"G0800550","1960","Colorado","080","Huerfano","0550","Huerfano","62","550",7867
"G0800570","1960","Colorado","080","Jackson","0570","Jackson","62","570",1758
"G0800590","1960","Colorado","080","Jefferson","0590","Jefferson","62","590",127520
"G0800610","1960","Colorado","080","Kiowa","0610","Kiowa","62","610",2425
"G0800630","1960","Colorado","080","Kit Carson","0630","Kit Carson","62","630",6957
"G0800650","1960","Colorado","080","Lake","0650","Lake","62","650",7101
"G0800670","1960","Colorado","080","La Plata","0670","La Plata","62","670",19225
"G0800690","1960","Colorado","080","Larimer","0690","Larimer","62","690",53343
"G0800710","1960","Colorado","080","Las Animas","0710","Las Animas","62","710",19983
"G0800730","1960","Colorado","080","Lincoln","0730","Lincoln","62","730",5310
"G0800750","1960","Colorado","080","Logan","0750","Logan","62","750",20302
"G0800770","1960","Colorado","080","Mesa","0770","Mesa","62","770",50715
"G0800790","1960","Colorado","080","Mineral","0790","Mineral","62","790",424
"G0800810","1960","Colorado","080","Moffat","0810","Moffat","62","810",7061
"G0800830","1960","Colorado","080","Montezuma","0830","Montezuma","62","830",14024
"G0800850","1960","Colorado","080","Montrose","0850","Montrose","62","850",18286
"G0800870","1960","Colorado","080","Morgan","0870","Morgan","62","870",21192
"G0800890","1960","Colorado","080","Otero","0890","Otero","62","890",24128
"G0800910","1960","Colorado","080","Ouray","0910","Ouray","62","910",1601
"G0800930","1960","Colorado","080","Park","0930","Park","62","930",1822
"G0800950","1960","Colorado","080","Phillips","0950","Phillips","62","950",4440
"G0800970","1960","Colorado","080","Pitkin","0970","Pitkin","62","970",2381
"G0800990","1960","Colorado","080","Prowers","0990","Prowers","62","990",13296
"G0801010","1960","Colorado","080","Pueblo","1010","Pueblo","62","1010",118707
"G0801030","1960","Colorado","080","Rio Blanco","1030","Rio Blanco","62","1030",5150
"G0801050","1960","Colorado","080","Rio Grande","1050","Rio Grande","62","1050",11160
"G0801070","1960","Colorado","080","Routt","1070","Routt","62","1070",5900
"G0801090","1960","Colorado","080","Saguache","1090","Saguache","62","1090",4473
"G0801110","1960","Colorado","080","San Juan","1110","San Juan","62","1110",849
"G0801130","1960","Colorado","080","San Miguel","1130","San Miguel","62","1130",2944
"G0801150","1960","Colorado","080","Sedgwick","1150","Sedgwick","62","1150",4242
"G0801170","1960","Colorado","080","Summit","1170","Summit","62","1170",2073
"G0801190","1960","Colorado","080","Teller","1190","Teller","62","1190",2495
"G0801210","1960","Colorado","080","Washington","1210","Washington","62","1210",6625
"G0801230","1960","Colorado","080","Weld","1230","Weld","62","1230",72344
"G0801250","1960","Colorado","080","Yuma","1250","Yuma","62","1250",8912
"G0900010","1960","Connecticut","090","Fairfield","0010","Fairfield","1","10",653589
"G0900030","1960","Connecticut","090","Hartford","0030","Hartford","1","30",689555
"G0900050","1960","Connecticut","090","Litchfield","0050","Litchfield","1","50",119856
"G0900070","1960","Connecticut","090","Middlesex","0070","Middlesex","1","70",88865
"G0900090","1960","Connecticut","090","New Haven","0090","New Haven","1","90",660315
"G0900110","1960","Connecticut","090","New London","0110","New London","1","110",185745
"G0900130","1960","Connecticut","090","Tolland","0130","Tolland","1","130",68737
"G0900150","1960","Connecticut","090","Windham","0150","Windham","1","150",68572
"G1000010","1960","Delaware","100","Kent","0010","Kent","11","10",65651
"G1000030","1960","Delaware","100","New Castle","0030","New Castle","11","30",307446
"G1000050","1960","Delaware","100","Sussex","0050","Sussex","11","50",73195
"G1100010","1960","District Of Columbia","110","District Of Columbia","0010","District Of Columbia","98","10",763956
"G1200010","1960","Florida","120","Alachua","0010","Alachua","43","10",74074
"G1200030","1960","Florida","120","Baker","0030","Baker","43","30",7363
"G1200050","1960","Florida","120","Bay","0050","Bay","43","50",67131
"G1200070","1960","Florida","120","Bradford","0070","Bradford","43","70",12446
"G1200090","1960","Florida","120","Brevard","0090","Brevard","43","90",111435
"G1200110","1960","Florida","120","Broward","0110","Broward","43","110",333946
"G1200130","1960","Florida","120","Calhoun","0130","Calhoun","43","130",7422
"G1200150","1960","Florida","120","Charlotte","0150","Charlotte","43","150",12594
"G1200170","1960","Florida","120","Citrus","0170","Citrus","43","170",9268
"G1200190","1960","Florida","120","Clay","0190","Clay","43","190",19535
"G1200210","1960","Florida","120","Collier","0210","Collier","43","210",15753
"G1200230","1960","Florida","120","Columbia","0230","Columbia","43","230",20077
"G1200250","1960","Florida","120","Dade","0250","Dade","43","250",935047
"G1200270","1960","Florida","120","DeSoto","0270","De Soto","43","270",11683
"G1200290","1960","Florida","120","Dixie","0290","Dixie","43","290",4479
"G1200310","1960","Florida","120","Duval","0310","Duval","43","310",455411
"G1200330","1960","Florida","120","Escambia","0330","Escambia","43","330",173829
"G1200350","1960","Florida","120","Flagler","0350","Flagler","43","350",4566
"G1200370","1960","Florida","120","Franklin","0370","Franklin","43","370",6576
"G1200390","1960","Florida","120","Gadsden","0390","Gadsden","43","390",41989
"G1200410","1960","Florida","120","Gilchrist","0410","Gilchrist","43","410",2868
"G1200430","1960","Florida","120","Glades","0430","Glades","43","430",2950
"G1200450","1960","Florida","120","Gulf","0450","Gulf","43","450",9937
"G1200470","1960","Florida","120","Hamilton","0470","Hamilton","43","470",7705
"G1200490","1960","Florida","120","Hardee","0490","Hardee","43","490",12370
"G1200510","1960","Florida","120","Hendry","0510","Hendry","43","510",8119
"G1200530","1960","Florida","120","Hernando","0530","Hernando","43","530",11205
"G1200550","1960","Florida","120","Highlands","0550","Highlands","43","550",21338
"G1200570","1960","Florida","120","Hillsborough","0570","Hillsborough","43","570",397788
"G1200590","1960","Florida","120","Holmes","0590","Holmes","43","590",10844
"G1200610","1960","Florida","120","Indian River","0610","Indian River","43","610",25309
"G1200630","1960","Florida","120","Jackson","0630","Jackson","43","630",36208
"G1200650","1960","Florida","120","Jefferson","0650","Jefferson","43","650",9543
"G1200670","1960","Florida","120","Lafayette","0670","Lafayette","43","670",2889
"G1200690","1960","Florida","120","Lake","0690","Lake","43","690",57383
"G1200710","1960","Florida","120","Lee","0710","Lee","43","710",54539
"G1200730","1960","Florida","120","Leon","0730","Leon","43","730",74225
"G1200750","1960","Florida","120","Levy","0750","Levy","43","750",10364
"G1200770","1960","Florida","120","Liberty","0770","Liberty","43","770",3138
"G1200790","1960","Florida","120","Madison","0790","Madison","43","790",14154
"G1200810","1960","Florida","120","Manatee","0810","Manatee","43","810",69168
"G1200830","1960","Florida","120","Marion","0830","Marion","43","830",51616
"G1200850","1960","Florida","120","Martin","0850","Martin","43","850",16932
"G1200870","1960","Florida","120","Monroe","0870","Monroe","43","870",47921
"G1200890","1960","Florida","120","Nassau","0890","Nassau","43","890",17189
"G1200910","1960","Florida","120","Okaloosa","0910","Okaloosa","43","910",61175
"G1200930","1960","Florida","120","Okeechobee","0930","Okeechobee","43","930",6424
"G1200950","1960","Florida","120","Orange","0950","Orange","43","950",263540
"G1200970","1960","Florida","120","Osceola","0970","Osceola","43","970",19029
"G1200990","1960","Florida","120","Palm Beach","0990","Palm Beach","43","990",228106
"G1201010","1960","Florida","120","Pasco","1010","Pasco","43","1010",36785
"G1201030","1960","Florida","120","Pinellas","1030","Pinellas","43","1030",374665
"G1201050","1960","Florida","120","Polk","1050","Polk","43","1050",195139
"G1201070","1960","Florida","120","Putnam","1070","Putnam","43","1070",32212
